titleid,titlename,description,genre,releaseyear,runtimeminutes
446,The Night of the Hunter,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he''d stolen in a robbery.","Crime, Drama, Film-Noir",1955,92
447,La Strada,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",Drama,1954,108
448,Les diaboliques,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,"Crime, Drama, Horror",1955,117
449,Stalag 17,"When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer.","Comedy, Drama, War",1953,120
450,Roman Holiday,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,"Comedy, Romance",1953,118
451,A Streetcar Named Desire,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,Drama,1951,122
452,In a Lonely Place,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.","Drama, Film-Noir, Mystery",1950,94
453,Kind Hearts and Coronets,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,"Comedy, Crime",1949,106
454,Rope,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,"Crime, Drama, Mystery",1948,80
455,Out of the Past,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames.","Crime, Drama, Film-Noir",1947,97
456,Brief Encounter,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.","Drama, Romance",1945,86
457,Laura,A police detective falls in love with the woman whose murder he is investigating.,"Drama, Film-Noir, Mystery",1944,88
458,The Best Years of Our Lives,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,"Drama, Romance, War",1946,170
459,Arsenic and Old Lace,A writer of books on the futility of marriage risks his reputation when he decides to get married. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.,"Comedy, Crime, Thriller",1942,118
460,The Maltese Falcon,"A private detective takes on a case that involves him with three eccentric crials, a gorgeous liar, and their quest for a priceless statuette.","Film-Noir, Mystery",1941,100
461,The Grapes of Wrath,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.","Drama, History",1940,129
462,The Wizard of Oz,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,"Adventure, Family, Fantasy",1939,102
463,La règle du jeu,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.","Comedy, Drama",1939,110
464,The Thin Man,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.","Comedy, Crime, Mystery",1934,91
465,All Quiet on the Western Front,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.","Drama, War",1930,152
466,Bronenosets Potemkin,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel''s officers. The resulting street demonstration in Odessa brings on a police massacre.","Drama, History, Thriller",1925,75
467,Knives Out,"A detective investigates the death of a patriarch of an eccentric, combative family.","Comedy, Crime, Drama",2019,130
468,Dil Bechara,"The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group.","Comedy, Drama, Romance",2020,101
469,Manbiki kazoku,A family of small-time crooks take in a child they find outside in the cold.,"Crime, Drama",2018,121
470,Marriage Story,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,"Comedy, Drama, Romance",2019,137
471,Call Me by Your Name,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father''s research assistant.","Drama, Romance",2017,132
472,"I, Daniel Blake","After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance.",Drama,2016,100
473,Isle of Dogs,"Set in Japan, Isle of Dogs follows a boy''s odyssey in search of his lost dog.","Animation, Adventure, Comedy",2018,101
474,Hunt for the Wilderpeople,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,"Adventure, Comedy, Drama",2016,101
475,Captain Fantastic,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.","Comedy, Drama",2016,118
476,Sing Street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,"Comedy, Drama, Music",2016,106
477,Thor: Ragnarok,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.","Action, Adventure, Comedy",2017,130
478,Nightcrawler,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.","Crime, Drama, Thriller",2014,117
479,Jojo Rabbit,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,"Comedy, Drama, War",2019,108
480,Arrival,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world.,"Drama, Sci-Fi",2016,116
481,Star Wars: Episode VII - The Force Awakens,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.","Action, Adventure, Sci-Fi",2015,138
482,Before Midnight,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,"Drama, Romance",2013,109
483,X-Men: Days of Future Past,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,"Action, Adventure, Sci-Fi",2014,132
484,Bir Zamanlar Anadolu'da,A group of men set out in search of a dead body in the Anatolian steppes.,"Crime, Drama",2011,157
485,The Artist,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,"Comedy, Drama, Romance",2011,100
486,Edge of Tomorrow,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.","Action, Adventure, Sci-Fi",2014,113
487,Amour,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple''s bond of love is severely tested.","Drama, Romance",2012,127
488,The Irishman,"An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s.","Biography, Crime, Drama",2019,209
489,Un prophète,A young Arab man is sent to a French prison.,"Crime, Drama",2009,155
490,Moon,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diish our planet''s power problems.","Drama, Mystery, Sci-Fi",2009,97
491,Låt den rätte komma in,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.","Crime, Drama, Fantasy",2008,114
492,District 9,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,"Action, Sci-Fi, Thriller",2009,112
493,The Wrestler,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.","Drama, Sport",2008,109
494,Jab We Met,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,"Comedy, Drama, Romance",2007,138
495,Boyhood,"The life of Mason, from early childhood to his arrival at college.",Drama,2014,165
496,"4 luni, 3 saptamâni si 2 zile",A woman assists her friend in arranging an illegal abortion in 1980s Romania.,Drama,2007,113
497,Star Trek,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,"Action, Adventure, Sci-Fi",2009,127
498,In Bruges,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.","Comedy, Crime, Drama",2008,107
499,The Man from Earth,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,"Drama, Fantasy, Mystery",2007,87
