titleid,titlename,description,genre,releaseyear,runtimeminutes
240,Taegukgi hwinalrimyeo,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.","Action, Drama, War",2004,140
241,Before Sunset,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse''s book tour.","Drama, Romance",2004,80
242,Munna Bhai M.B.B.S.,A gangster sets out to fulfill his father's dream of becog a doctor.,"Comedy, Drama, Musical",2003,156
243,Salinui chueok,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","Crime, Drama, Mystery",2003,131
244,Dil Chahta Hai,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.","Comedy, Drama, Romance",2001,183
246,Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Animation, Adventure, Comedy",2003,100
247,Catch Me If You Can,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","Biography, Crime, Drama",2002,141
248,Amores perros,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life''s harsh realities, all in the name of love.","Drama, Thriller",2000,154
249,"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.","Animation, Adventure, Comedy",2001,92
250,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,"Animation, Action, Drama",1997,87
251,Lagaan: Once Upon a Time in India,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,"Adventure, Drama, Musical",2001,224
252,The Sixth Sense,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,"Drama, Mystery, Thriller",1999,107
253,La leggenda del pianista sull'oceano,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.","Drama, Music, Romance",1998,169
254,The Truman Show,An insurance salesman discovers his whole life is actually a reality TV show.,"Comedy, Drama",1998,103
255,"Crna macka, beli macor",Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,"Comedy, Crime, Romance",1998,127
256,The Big Lebowski,"Jeff The Dude Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","Comedy, Crime, Sport",1998,117
257,Fa yeung nin wah,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.","Drama, Romance",2000,98
258,Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Drama,1996,93
259,Fargo,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Crime, Drama, Thriller",1996,98
260,Underground,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.","Comedy, Drama, War",1995,170
261,La haine,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"Crime, Drama",1995,98
262,Dilwale Dulhania Le Jayenge,"When Raj meets Simran in Europe, it isn''t love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.","Drama, Romance",1995,189
263,Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Drama, Romance",1995,101
264,Trois couleurs: Rouge,A model discovers a retired judge is keen on invading people's privacy.,"Drama, Mystery, Romance",1994,99
265,Chung Hing sam lam,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.","Comedy, Crime, Drama",1994,102
266,Jurassic Park,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"Action, Adventure, Sci-Fi",1993,127
267,In the Name of the Father,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,"Biography, Crime, Drama",1993,133
268,Ba wang bie ji,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,"Drama, Music, Romance",1993,171
269,Dà hóng denglong gaogao guà,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.","Drama, History, Romance",1991,125
270,Dead Poets Society,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,"Comedy, Drama",1989,128
271,Stand by Me,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.","Adventure, Drama",1986,89
272,Platoon,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd exaation of the brutality of war and the duality of man in conflict.","Drama, War",1986,120
273,"Paris, Texas","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Drama,1984,145
274,Kaze no tani no Naushika,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,"Animation, Adventure, Fantasy",1984,117
275,The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Horror, Mystery, Sci-Fi",1982,109
276,Pink Floyd: The Wall,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,"Drama, Fantasy, Music",1982,95
277,Fitzcarraldo,"The story of Brian Sweeney Fitzgerald, an extremely detered man who intends to build an opera house in the middle of a jungle.","Adventure, Drama",1982,158
278,Fanny och Alexander,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",Drama,1982,188
279,Blade Runner,"A blade runner must pursue and terate four replicants who stole a ship in space, and have returned to Earth to find their creator.","Action, Sci-Fi, Thriller",1982,117
280,The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.","Biography, Drama",1980,124
281,Life of Brian,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Comedy,1979,94
282,The Deer Hunter,An in-depth exaation of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,"Drama, War",1978,183
283,Rocky,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,"Drama, Sport",1976,120
284,Network,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,Drama,1976,121
285,Barry Lyndon,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"Adventure, Drama, History",1975,185
286,Zerkalo,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.","Biography, Drama",1975,107
287,Chinatown,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.","Drama, Mystery, Thriller",1974,130
288,Paper Moon,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.","Comedy, Crime, Drama",1973,102
289,Viskningar och rop,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",Drama,1972,91
290,Solaris,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,"Drama, Mystery, Sci-Fi",1972,167
291,Le samouraï,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,"Crime, Drama, Mystery",1967,105
292,Cool Hand Luke,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Crime, Drama",1967,127
293,Persona,A nurse is put in charge of a mute actress and finds that their personae are melding together.,"Drama, Thriller",1966,85
294,Andrei Rublev,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.","Biography, Drama, History",1966,205
295,La battaglia di Algeri,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Drama, War",1966,121
296,El ángel exterador,The guests at an upper-class dinner party find themselves unable to leave.,"Drama, Fantasy",1962,95
297,What Ever Happened to Baby Jane?,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,"Drama, Horror, Thriller",1962,134
298,Sanjuro,"A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.","Action, Comedy, Crime",1962,96
299,The Man Who Shot Liberty Valance,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,"Drama, Western",1962,123
300,Ivanovo detstvo,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.","Drama, War",1962,95
301,Jungfrukällan,"An innocent yet pampered young virgin and her family''s pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",Drama,1960,89
302,Inherit the Wind,"Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.","Biography, Drama, History",1960,128
303,Les quatre cents coups,"A young boy, left without attention, delves into a life of petty crime.","Crime, Drama",1959,99
304,Ben-Hur,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.","Adventure, Drama, History",1959,212
305,Kakushi-toride no san-akunin,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.","Adventure, Drama",1958,139
306,Le notti di Cabiria,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Drama,1957,110
307,Kumonosu-jô,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider''s Web Castle.","Drama, History",1957,110
308,The Bridge on the River Kwai,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.","Adventure, Drama, War",1957,161
309,On the Waterfront,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,"Crime, Drama, Thriller",1954,108
310,Le salaire de la peur,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Adventure, Drama, Thriller",1953,131
311,Ace in the Hole,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.","Drama, Film-Noir",1951,111
312,White Heat,A psychopathic crial with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,"Action, Crime, Drama",1949,114
313,The Third Man,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","Film-Noir, Mystery, Thriller",1949,104
314,The Red Shoes,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,"Drama, Music, Romance",1948,135
315,The Shop Around the Corner,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other''s anonymous pen pal.","Comedy, Drama, Romance",1940,99
316,Rebecca,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"Drama, Mystery, Romance",1940,130
317,Mr. Smith Goes to Washington,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn''t back down.","Comedy, Drama",1939,129
318,Gone with the Wind,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,"Drama, History, Romance",1939,238
319,La Grande Illusion,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seegly inescapable fortress.","Drama, War",1937,113
320,It Happened One Night,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.","Comedy, Romance",1934,105
321,La passion de Jeanne d'Arc,"In 1431, Jeanne d''Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","Biography, Drama, History",1928,110
322,The Circus,The Tramp finds work and the girl of his dreams at a circus.,"Comedy, Romance",1928,72
323,Sunrise: A Song of Two Humans,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,"Drama, Romance",1927,94
324,The General,"When Union spies steal an engineer''s beloved locomotive, he pursues it single-handedly and straight through enemy lines.","Action, Adventure, Comedy",1926,67
325,Das Cabinet des Dr. Caligari,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.","Fantasy, Horror, Mystery",1920,76
326,Badhaai ho,A man is embarrassed when he finds out his mother is pregnant.,"Comedy, Drama",2018,124
327,Togo,"The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.","Adventure, Biography, Drama",2019,113
328,Airlift,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.","Drama, History",2016,130
329,Bajrangi Bhaijaan,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,"Action, Adventure, Comedy",2015,163
330,Baby,"An elite counter-intelligence unit learns of a plot, masterded by a maniacal madman. With the clock ticking, it''s up to them to track the terrorists'' international tentacles and prevent them from striking at the heart of India.","Action, Crime, Thriller",2015,159
331,La La Land,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.","Comedy, Drama, Music",2016,128
332,Lion,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.","Biography, Drama",2016,118
333,The Martian,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.","Adventure, Drama, Sci-Fi",2015,144
334,Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","Animation, Adventure, Comedy",2016,108
335,Bãhubali: The Beginning,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.","Action, Drama",2015,159
336,Kaguyahime no monogatari,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.","Animation, Adventure, Drama",2013,137
337,Wonder,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarg story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.","Drama, Family",2017,113
338,Gully Boy,A cog-of-age story based on the lives of street rappers in Mumbai.,"Drama, Music, Romance",2019,154
339,Special Chabbis,A gang of con-men rob proent rich businessmen and politicians by posing as C.B.I and income tax officers.,"Crime, Drama, Thriller",2013,144
340,Short Term 12,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,Drama,2013,96
341,Serbuan maut 2: Berandal,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.","Action, Crime, Thriller",2014,150
342,The Imitation Game,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.","Biography, Drama, Thriller",2014,114
343,Guardians of the Galaxy,A group of intergalactic crials must pull together to stop a fanatical warrior with plans to purge the universe.,"Action, Adventure, Comedy",2014,121
344,Blade Runner 2049,"Young Blade Runner K''s discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who''s been missing for thirty years.","Action, Drama, Mystery",2017,164
345,Her,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.","Drama, Romance, Sci-Fi",2013,126
346,Bohemian Rhapsody,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).","Biography, Drama, Music",2018,134
347,The Revenant,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,"Action, Adventure, Drama",2015,156
348,The Perks of Being a Wallflower,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,"Drama, Romance",2012,103
349,Tropa de Elite 2: O Inimigo Agora é Outro,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.","Action, Crime, Drama",2010,115
350,The King's Speech,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.","Biography, Drama, History",2010,118
351,The Help,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids'' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Drama,2011,146
352,Deadpool,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.","Action, Adventure, Comedy",2016,108
353,Darbareye Elly,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,"Drama, Mystery",2009,119
354,Dev.D,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?","Drama, Romance",2009,144
355,Yip Man,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.","Action, Biography, Drama",2008,106
356,My Name Is Khan,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Drama,2010,165
357,Nefes: Vatan Sagolsun,Story of 40-man Turkish task force who must defend a relay station.,"Action, Drama, Thriller",2009,128
358,Slumdog Millionaire,A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of Who Wants to be a Millionaire?.,"Drama, Romance",2008,120
359,Black Swan,A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's Swan Lake.,"Drama, Thriller",2010,108
360,Tropa de Elite,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and crials before the Pope visits.","Action, Crime, Drama",2007,115
361,The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,"Action, Adventure, Sci-Fi",2012,143
362,Persepolis,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,"Animation, Biography, Drama",2007,96
363,Dallas Buyers Club,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.","Biography, Drama",2013,117
364,The Pursuit of Happyness,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,"Biography, Drama",2006,117
365,Blood Diamond,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.","Adventure, Drama, Thriller",2006,143
366,The Bourne Ultimatum,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,"Action, Mystery, Thriller",2007,115
367,Bin-jip,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,"Crime, Drama, Romance",2004,88
368,Sin City,"A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption.","Crime, Thriller",2005,124
369,Le scaphandre et le papillon,The true story of Elle editor Jean-Doique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,"Biography, Drama",2007,112
370,G.O.R.A.,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,"Adventure, Comedy, Sci-Fi",2004,127
371,Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,"Animation, Adventure, Comedy",2007,111
372,Casino Royale,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.","Action, Adventure, Thriller",2006,144
373,Kill Bill: Vol. 2,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.","Action, Crime, Thriller",2004,137
374,Vozvrashchenie,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",Drama,2003,110
375,Bom Yeoareum Gaeul Gyeoul Geurigo Bom,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,"Drama, Romance",2003,103
376,Mar adentro,"The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die.","Biography, Drama",2014,126
377,Cinderella Man,"The story of James J. Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.","Biography, Drama, History",2005,144
378,Kal Ho Naa Ho,"Naina, an introverted, perpetually depressed girl''s life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina''s best friend who conceals his love for her.","Comedy, Drama, Musical",2003,186
379,Mou gaan dou,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.","Action, Crime, Drama",2002,101
380,Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate Captain Jack Sparrow to save his love, the governor''s daughter, from Jack''s former pirate allies, who are now undead.","Action, Adventure, Fantasy",2003,143
381,Big Fish,A frustrated son tries to detere the fact from fiction in his dying father's life.,"Adventure, Drama, Fantasy",2003,125
382,The Incredibles,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.","Animation, Action, Adventure",2004,115
